article_id,title,cluster,pca_x,pca_y
WOS:001143809700001,Constructing Charge Bridge Path for High-Performance Tin Perovskite Photovoltaics,2,-0.37827063,-0.17307952
WOS:001157189800001,"Predictors, moderators and mediators of psychological therapies for perinatal depression in low- and middle-income countries: a systematic review",1,0.28510189,-0.23867974
WOS:001149960200001,Applications of artificial neural network based battery management systems: A literature review,0,-0.08324755,0.54799836
WOS:001165771600001,The effect of outer container geometry on the thermal management of lithium-ion batteries with a combination of phase change material and metal foam,0,-0.11263008,0.44333331
WOS:001144493500001,Crystallinity tuning of LCNO/graphene nanocomposite cathode for high-performance lithium-ion batteries,0,-0.14017035,0.39755835
WOS:001182798400001,"Multitask Learning for Mental Health: Depression, Anxiety, Stress (DAS) Using Wearables",1,0.39818754,0.02759902
WOS:001167231700001,Incorporation Mechanism of Potassium in FAPbI<sub>3</sub> Perovskite Solar Cell Materials,2,-0.29902716,-0.20376672
WOS:001191208900001,Molecularly Engineered Multifunctional Bridging Layer Derived from Dithiafulavene Capped Spiroxanthene for Stable and Efficient Perovskite Solar Cells,2,-0.32660340,-0.29181610
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",1,0.37764546,-0.01912590
WOS:001168628400001,Simulation and forecasting of power by energy harvesting method in photovoltaic panels using artificial neural network,0,-0.14151516,0.21145394
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",1,0.56381510,0.01427755
WOS:001157724100001,Depression and life satisfaction after Kahramanmaraş earthquakes: The serial mediation roles of life meaning and coping with earthquake stress,1,0.52328862,-0.22815340
WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,0,-0.09067028,0.24570789
WOS:001178378200001,"Molecular modification of spiro[fluorene-9,9′-xanthene]-based dopant-free hole transporting materials for perovskite solar cells",2,-0.36476896,-0.38242086
WOS:001168109200001,High-performance Na-ion full-cells with P2-type Na<sub>0.67</sub>Mn<sub>0.5-x</sub>Ni<sub>x</sub>Fe<sub>0.43</sub>Al<sub>0.07</sub>O<sub>2</sub> cathodes: Cost analysis for stationary battery storage systems,0,-0.19180924,0.41951556
WOS:001173733800001,Ion-Migration Inhibitor for Spiro-OMeTAD/Perovskite Contact toward Stable Perovskite Solar Cells,2,-0.33851955,-0.40897007
WOS:001154920600001,Effect of online health training/counseling and progressive muscle relaxation exercise on postpartum depression and maternal attachment: A randomized controlled trial,1,0.52069546,-0.08377011
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,2,-0.33589285,-0.11393290
WOS:001148762500002,Exploring adult attachment and anxiety: the role of intolerance of uncertainty and social support,1,0.52658758,-0.10574925
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,0,-0.10748313,0.19580030
WOS:001163332000001,Gellan gum/PEDOT:PSS gel electrolyte and application on quasi-solid dye sensitized solar cells,0,-0.19358143,0.09243131
WOS:001158980200001,"Synergistic Effects of Energy Level Alignment and Trap Passivation via 3,4-Dihydroxyphenethylamine Hydrochloride for Efficient and Air-Stable Perovskite Solar Cells",2,-0.35837709,-0.16970935
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,2,-0.22719696,-0.11964738
WOS:001163480800004,"Effects of a Mindfulness-Based Stress Reduction Program on Stress, Depression, and Psychological Well-being in Patients With Cancer",1,0.49444216,-0.05685425
