article_id,title,source,selection_group,selection_rule,has_abstract,embedding_text_source,qdrant_point_id
WOS:001129852800002,"The effect of occupational therapy on anxiety, depression, and psychological well-being in older adults: a single-blind randomized-controlled study",data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Yaşlılarda anksiyete/depresyon; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),60a2e0ed-98d0-5f12-b401-ca44deb3aa2c
WOS:001131514500001,Magnetic-biased chiral molecules enabling highly oriented photovoltaic perovskites,data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Yönelimli perovskit; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),cc92a10f-1ebb-5074-8e37-b982eb3008bb
WOS:001140573400001,Acetate-based ionic liquid engineering for efficient and stable CsPbI<sub>2</sub>Br perovskite solar cells with an unprecedented fill factor over 83%,data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Perovskit hücre kararlılığı; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),b075c1e2-ad27-5b6f-b1d2-3b1f53f456ed
WOS:001140575800001,Understanding the role of water in the lyotropic liquid crystalline mesophase of high-performance flexible supercapacitor electrolytes using a rheological approach,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Süperkapasitör elektroliti; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),bddd0b8d-8d9e-565d-9aa7-602e7a256fce
WOS:001142171500001,"Biological Markers in Newly Diagnosed Generalized Anxiety Disorder Patients: 8-OHdG, S100B and Oxidative Stress",data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Anksiyete biyobelirteçleri; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),58721887-ea0f-57ce-83de-498bf4152ed1
WOS:001143201300001,Incorporating Gadolinium Oxide (Gd<sub>2</sub>O<sub>3</sub>) as a Rare Earth Metal Oxide in Carbon Nanofiber Skeleton for Supercapacitor Application,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Süperkapasitör elektrodu; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),705078fb-e944-59fd-957a-6a489b604eaa
WOS:001143809700001,Constructing Charge Bridge Path for High-Performance Tin Perovskite Photovoltaics,data/raw/ulakbim_ubyt_wos_records.json,same_topic_perovskite_solar_cells,SELECTIONS sabit UID eşleşmesi; Kalay perovskit fotovoltaik; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),02afe6bf-6e9f-5aca-b707-1de6ee332567
WOS:001144493500001,Crystallinity tuning of LCNO/graphene nanocomposite cathode for high-performance lithium-ion batteries,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Lityum iyon katot; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),2d82685e-0280-5ffe-827f-8671e26a0523
WOS:001148762500002,Exploring adult attachment and anxiety: the role of intolerance of uncertainty and social support,data/raw/ulakbim_ubyt_wos_records.json,different_mental_health,SELECTIONS sabit UID eşleşmesi; Bağlanma ve anksiyete; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),b14b7efb-69c4-5948-9228-4574614c1cdd
WOS:001149960200001,Applications of artificial neural network based battery management systems: A literature review,data/raw/ulakbim_ubyt_wos_records.json,related_energy_technologies,SELECTIONS sabit UID eşleşmesi; Batarya yönetim sistemleri; abstract mevcut ve şüpheli değil,true,title + abstract (Başlık/Abstract şablonu),0b425e26-2072-507c-a801-baea94b9a9ed
